Case 1 - Low Confidence ( 122 )
==================================================
HYPONYM(judges, dignitaries)
HYPONYM(the_president, kennedy_family_members)
HYPONYM(mars, heavenly_objects)
HYPONYM(stock_price_volatility, factors)
HYPONYM(moreno_ferrari, the_triennale_di_milano)
HYPONYM(dividends, morningstar_inc.)
HYPONYM(universal_service, regulation)
HYPONYM(the_united_states, slave-holding_powers)
HYPONYM(seafood, best_bets)
HYPONYM(new_jersey, 13_states)
HYPONYM(the_end, analysts)
HYPONYM(national_security_studies, groups)
HYPONYM(balalaikas, russian_art)
HYPONYM(terrorist_organizations, others)
HYPONYM(a_stint, 35_years)
HYPONYM(the_current_federal_probe, legal_problems)
HYPONYM(a_9-year-old_girl, a_bronx_family)
HYPONYM(the_marathon, 100_kilometers)
HYPONYM(american_express, attractive_dividends)
HYPONYM(mr._vibetti, analysts)
HYPONYM(some_80_current_legislators, reformists)
HYPONYM(the_movies, new_digital_video_programs)
HYPONYM(the_a, subway_service)
HYPONYM(family_members, about_400_people)
HYPONYM(johnny_irion, songwriters)
HYPONYM(height, physical_attributes)
HYPONYM(women, the_streets)
HYPONYM(approximately_60_religious_icons, russian_art)
HYPONYM(decorative_shades, the_styles)
HYPONYM(the_c._p._a., soldiers)
HYPONYM(john_collier, photographers)
HYPONYM(water, essential_services)
HYPONYM(stage_manager, several_capacities)
HYPONYM(weapons_depots, sites)
HYPONYM(karen_patton_seymour, prosecutors)
HYPONYM(computer_sabotage, means)
HYPONYM(france, the_war)
HYPONYM(sautéed_calamari, best_bets)
HYPONYM(ipods, combined_unit_volume)
HYPONYM(tv, multiple_devices)
HYPONYM(george_lane, elevators)
HYPONYM(the_shuksan_arm, backcountry_areas)
HYPONYM(the_mayor, last_year)
HYPONYM(teoma, search_engines)
HYPONYM(history_redux, a_thing)
HYPONYM(the_tottenville_firehouse, nearby_companies)
HYPONYM(the_7-foot-2_center_cezary_trybanski, the_new_knicks)
HYPONYM(the_head_coach, coaches)
HYPONYM(a_1-point_loss, three_straight_games)
HYPONYM(company_executives, the_experts)
HYPONYM(michael_jordan, any_other_sports_celebrity)
HYPONYM(tiramisù, 16_flavors)
HYPONYM(a_health_fair, all_ages)
HYPONYM(margo_lion, likely_producers)
HYPONYM(the_shuttle, existing_programs)
HYPONYM(wal-mart, several_retail_stores)
HYPONYM(cinematographer, 5_others)
HYPONYM(crafts, all_ages)
HYPONYM(especially_lincoln, all_wars)
HYPONYM(nuclear_facilities, infrastructure)
HYPONYM(ms._cielecki, 200_volunteers)
HYPONYM(multiple_vintages, 600_wines)
HYPONYM(10_new_nations, all_members)
HYPONYM(blood, tissues_''so_health_officials)
HYPONYM(washington, big_cities)
HYPONYM(pfizer, clients)
HYPONYM(the_new_jersey_state_museum, locations)
HYPONYM(the_alternative_powerhouses_kroq-fm, 180_stations)
HYPONYM(sudan, the_administration)
HYPONYM(yakuza, films)
HYPONYM(mr._christie, investigators)
HYPONYM(the_restaurant, family_ventures)
HYPONYM(the_original_napster, file-sharing_services)
HYPONYM(mr._peregrine, lawyers)
HYPONYM(asparagus-lemon_risotto, treats)
HYPONYM(chefs, the_national_ice_carving_association)
HYPONYM(some_prominent_sports_sponsorships, marketing)
HYPONYM(''the_shape, plays)
HYPONYM(pittsburgh, division_i_programs)
HYPONYM(several_leaders, congress)
HYPONYM(the_museum, museums)
HYPONYM(country, most_passengers)
HYPONYM(vagueness, several_deficiencies)
HYPONYM(the_novels_''childhood, nonfiction)
HYPONYM(18th-century_american_furniture, items)
HYPONYM(city_council_members, a_dozen_interests)
HYPONYM(nyte, companies)
HYPONYM(missiles, illicit_weapons)
HYPONYM(poliform, office_design)
HYPONYM(kurds, other_groups)
HYPONYM(victory, 2001_seasons)
HYPONYM(the_associated_press, several_choir_officials)
HYPONYM(the_web, bells)
HYPONYM(senator_joseph_i._lieberman, democratic_presidential_candidates)
HYPONYM(max_beckmann, others)
HYPONYM(one_man, elevators)
HYPONYM(the_upcoming_regional_world_cup, all_international_competitions)
HYPONYM(the_issue, disastrous_season)
HYPONYM(cash_''love_offerings, any_other_income)
HYPONYM(director, several_capacities)
HYPONYM(fairs, public_events)
HYPONYM(van_horn, players)
HYPONYM(rhode_island, far-flung_places)
HYPONYM(an_extravaganza, lavish_excess)
HYPONYM(the_local_units, canadian_soft_drink_manufacturers)
HYPONYM(a_sarcastic_warning, opponents)
HYPONYM(strom_thurmond, a_man)
HYPONYM(verizon_communications, local_telephone_service_providers)
HYPONYM(assaults, either_criminal_materials)
HYPONYM(the_stranger_at_the_palazzo_d'oro, stories)
HYPONYM(george_steinbrenner, notables)
HYPONYM(power, essential_services)
HYPONYM(dr._troxell, raw_fillets)
HYPONYM(the_1909_offering_''the_lonely_villa, groundbreaking_early_shorts)
HYPONYM(kenkenis, african_drums)
HYPONYM(a_tibetan_nun, detention)
HYPONYM(australia, several_countries)
HYPONYM(brokers, settlement_service_providers)
HYPONYM(nasdaq, electronic_competitors)
HYPONYM(land, the_project)
HYPONYM(mr._klein, city_education_officials)
HYPONYM(an_injunction, other_measures)
HYPONYM(spinach_salad, best_bets)
HYPONYM(a_former_city_alderman, the_black_community)
HYPONYM(significant_financial_rights, married_people)
HYPONYM(electronic_gadgetry, more_conventional_categories)
HYPONYM(enron, corporate_malefactors)
HYPONYM(pools, rescue_workers)
HYPONYM(''heidi_fleiss, other_documentaries)
HYPONYM(the_possibility, mr._fastow)
HYPONYM(normal_wear, control)
HYPONYM(house-cured_gravlax, treats)
HYPONYM(president_vladimir_v._putin, many_russian_officials)
HYPONYM(the_new_rover_landings, nasa)
HYPONYM(john_guare, writers)
HYPONYM(heavenly_date, flirtations)
HYPONYM(chicago, big_cities)
HYPONYM(index_funds, investment_options)
HYPONYM(joseph_m._kyrillos, state_senators)
HYPONYM(the_front, secular)
HYPONYM(new_passenger_car_entries, new_products)
HYPONYM(the_rev._dr._martin_luther_king_jr._presented, historical_figures)
HYPONYM(financial_benefits, significant_new_rights)
HYPONYM(papers, tweedier_stuff)
HYPONYM(the_consumer_federation, a_consortium)
HYPONYM(r_lines, subway_service)
HYPONYM(suites, recent_years)
HYPONYM(then_monsanto, both_companies)
HYPONYM(peter_akinola, australia)
HYPONYM(rare_robes, items)
HYPONYM(ernie_els, tour_heavyweights)
HYPONYM(russia, the_war)
HYPONYM(conspiracy, five_federal_crimes)
HYPONYM(the_english-language_premiere, eight_musicals)
HYPONYM(an_administration_official, major_american_cities)
HYPONYM(official_misconduct, offenses)
HYPONYM(elko, land-use_activists)
HYPONYM(jimmy_lafave, songwriters)
HYPONYM(n, subway_service)
HYPONYM(colgate-palmolive, service_providers)
HYPONYM(museum_admission, $30)
HYPONYM(the_director, 5_others)
HYPONYM(a_computer, electronic_controls)
HYPONYM(sunni_arabs, other_groups)
HYPONYM(other_documentaries, much_television)
HYPONYM(electronic_eavesdropping, means)
HYPONYM(research, helpful_services)
HYPONYM(senior_editors, the_sun)
HYPONYM(the_korean_presidential_citation, honors)
HYPONYM(the_required_postal_address, information)
HYPONYM(hall, several_businesses)
HYPONYM(a_concert, surreal_pranks)
HYPONYM(the_army, security_forces)
HYPONYM(bus_drivers, other_staff_members)
HYPONYM(lobster, 24-hour_food_service)
HYPONYM(al_qaeda_operatives, terrorists)
HYPONYM(mike_peters, prize-winning_cartoonists)
HYPONYM(''key_largo, seven_broadway_plays)
HYPONYM(the_defensive_coordinator, coaches)
HYPONYM(benedict, several_businesses)
HYPONYM(four_members, seven_house_guests)
HYPONYM(the_job, the_key_responsibilities)
HYPONYM(chest_compressions, cardiac_arrest)
HYPONYM(the_previous_articles, additional_materials)
HYPONYM(tractors, heavy_farm_equipment)
HYPONYM('dr, soviet_achievements)
HYPONYM(lord_black, executives)
HYPONYM(a_hilarious_moment, adults)
HYPONYM(singh, tour_heavyweights)
HYPONYM(mr._lane, disabled_people)
HYPONYM(social_work, other_areas)
HYPONYM(mortgage_businesses, online_financial_services)
HYPONYM(''friends, this_year)
HYPONYM(six_crew_members, thirteen_egyptians)
HYPONYM(the_disease_control_centers, scientists)
HYPONYM(the_booker, prizes)
HYPONYM(no_census_rolls, means)
HYPONYM(military_power, power)
HYPONYM(commercial_fraud, international_conspiracy)
HYPONYM(the_united_states, western_countries)
HYPONYM(other_neighborhoods, states)
HYPONYM(the_police_chief, last_year)
HYPONYM(a_dozen, sites)
HYPONYM(officials, some_cities)
HYPONYM(waterworks, office_design)
HYPONYM(iraq, other_countries)
HYPONYM(a_golf_bag, seagaia)
HYPONYM(human_rights_groups, independent_groups)
HYPONYM(a_blood-sugar_problem, health_difficulties)
HYPONYM(biological_allies, phosphorus)
HYPONYM(calisto_tanzi, nine_people)
HYPONYM(gloves, cumbersome_equipment)
HYPONYM(the_formats, digital_music)
HYPONYM(a_private_sex_club, this_instance)
HYPONYM(the_very_successful_children, public_health_insurance_programs)
HYPONYM(the_influential_governance, some_committees)
HYPONYM(colonel_costello, military_officials)
HYPONYM(the_top_eight_teams, part)
HYPONYM(family_health_plus, popular_programs)
HYPONYM(august_wilson, writers)
HYPONYM(children, new_products)
HYPONYM(swine_feed, products)
HYPONYM(the_desert_lime, five_other_species)
HYPONYM(dorothea_rockburne, a_few_artists)
HYPONYM(a_clawfoot_tub, antique_fixtures)
HYPONYM(racial_slurs, provocative_topics)
HYPONYM(this_country, countries)
HYPONYM(stan_getz, luminaries)
HYPONYM(the_mizuho_financial_group, bank_groups)
HYPONYM(porcelain_crowns, full_repairs)
HYPONYM(''scavullo, books)
HYPONYM(robert_b._shapiro, both_companies)
HYPONYM(hedge_funds, institutional_pools)
HYPONYM(laptop_computers, other_devices)
HYPONYM(the_cash_management_account, the_next_few_months)
HYPONYM(the_court, other_groups)
HYPONYM(''hybrid_propulsion_system_utilizing_solar_energy, titles)
HYPONYM(fault_zone, works)
HYPONYM(the_pretenders, headliners)
HYPONYM(the_bassist_scott_colley, a_quartet)
HYPONYM(the_imperial_eggs, the_collection)
HYPONYM(conservative_evangelicals, religious_groups)
HYPONYM(the_united_states, developed-country_markets)
HYPONYM(2003_hotels, businesses)
HYPONYM(address, most_passengers)
HYPONYM(a_two-for-one_subscription_offer, incentives)
HYPONYM(linoleum_block_prints, some_180_pieces)
HYPONYM(new_power_generation, systems)
HYPONYM(arshile_gorky, others)
HYPONYM(friend_alfred_lord_tennyson, eminent_victorian_writers)
HYPONYM(rhind, closter_sculptors)
HYPONYM(the_burns_sisters, songwriters)
HYPONYM(mary_berner, job)
HYPONYM(citigroup, attractive_dividends)
HYPONYM(video, $99.99)
HYPONYM(''the, 80_percent)
HYPONYM(five_clear_channel_stations, a_dozen_stations)
HYPONYM(a_place, potential_exploration_targets)
HYPONYM(imaginarium, toy_classifications)
HYPONYM(appraisers, settlement_service_providers)
HYPONYM(the_winner, fans)
HYPONYM(new_jersey, several_states)
HYPONYM(the_first_two_super_bowls, five_n._f._l._championships)
HYPONYM(the_front-runner, the_candidates)
HYPONYM(the_americans, foreign_companies)
HYPONYM(an_exercise, program)
HYPONYM(''no, state)



Case 4 - Medium Confidence ( 43 )
==================================================
HYPONYM(mr._tanzi, eight_people)
HYPONYM(pension_funds, big_institutions)
HYPONYM(jay_michaelson, five_grandchildren)
HYPONYM(dirt_roads, nondescript_scenes)
HYPONYM(air_france, airlines)
HYPONYM(mobile_phones, devices)
HYPONYM(detergent_bottles, household_containers)
HYPONYM(the_jacobi_medallion, many_honors)
HYPONYM(museum, combination_ticket)
HYPONYM(most_european_nations, 27_countries)
HYPONYM(cans, household_containers)
HYPONYM(posters, other_media)
HYPONYM(singapore, 27_countries)
HYPONYM(a_former_chief_financial_officer, other_senior_executives)
HYPONYM(examples, those_works)
HYPONYM(parmalat_bonds, management)
HYPONYM(museum_admission, one_imax_feature)
HYPONYM(two_lawyers, the_last_two_weeks)
HYPONYM(australia, 27_countries)
HYPONYM(the_addresses, e-mail)
HYPONYM(construction_sites, nondescript_scenes)
HYPONYM(the_possibility, serious_hazards)
HYPONYM(rocky_hills, nondescript_scenes)
HYPONYM(lord_black, top_hollinger_executives)
HYPONYM(canada, the_war)
HYPONYM(new_zealand, 27_countries)
HYPONYM(manhattan, five_grandchildren)
HYPONYM(pop-ups, types)
HYPONYM(''jane_goodall, various_screenings)
HYPONYM(japan, 27_countries)
HYPONYM(the_airlines, entities)
HYPONYM(mr._tonna, eight_people)
HYPONYM(brunch, 2_p._m.)
HYPONYM(nagl, soldiers)
HYPONYM(ny, five_grandchildren)
HYPONYM(commuters, more_readers)
HYPONYM(the_dead_man, family_members)
HYPONYM(fausto_tonna, other_senior_executives)
HYPONYM(rose_center_admission, combination_ticket)
HYPONYM(maia_michaelson, five_grandchildren)
HYPONYM(photographs, other_media)
HYPONYM(suburban_homes, nondescript_scenes)
HYPONYM(drawings, other_media)



Case 4 - High Confidence ( 2 )
==================================================
HYPONYM(sam, other_names)
HYPONYM(re_''the, doctor)



